NUM_THREADS,TICKS_PER_SLOT,RECV_BATCH_MAX_CPU,ITER_BATCH_SIZE,HASHES_PER_SECOND,TICKS_PER_SECOND,AVERAGE_TPS_BENCH1,AVERAGE_DROPRATE_BENCH1,REAL_TIME_RATE_BENCH1,USER_TIME_RATE_BENCH1,SYS_TIME_RATE_BENCH1
3.0,70.0,1056.0,1120.0,1996970.0,152.0,27.013834,0.0,60014,429,570
3.0,65.0,871.0,989.0,2190909.0,138.0,29.377615,0.0,60593,391,491
3.0,67.0,929.0,856.0,2227273.0,163.0,27.494085,0.0,60657,521,708
3.0,67.0,947.0,1105.0,2239394.0,142.0,27.493326,0.0,59604,455,631
3.0,63.0,1011.0,1071.0,1948485.0,173.0,23.013506,0.0,64120,396,591
3.0,57.0,1035.0,986.0,2263636.0,136.0,28.649918,0.0,60196,480,655
3.0,53.0,986.0,1135.0,2063636.0,153.0,27.490704,0.0,60366,446,658
3.0,72.0,1077.0,1053.0,2215152.0,170.0,28.310701,0.0,60095,482,635
3.0,62.0,877.0,850.0,2166667.0,143.0,28.856451,0.0,60860,474,680
3.0,63.0,1059.0,1102.0,1918182.0,167.0,27.547504,0.0,59470,495,665
3.0,56.0,862.0,1108.0,1912121.0,152.0,27.540167,0.0,59760,433,688
3.0,54.0,962.0,1111.0,2039394.0,145.0,27.036053,0.0,69904,510,820
3.0,55.0,1068.0,968.0,1845455.0,158.0,24.366724,0.0,57595,469,640
3.0,73.0,1108.0,926.0,1815152.0,169.0,27.39609,0.0,60305,472,655
3.0,67.0,1065.0,905.0,2293939.0,144.0,27.511028,0.0,59790,498,676
3.0,68.0,1141.0,883.0,2275758.0,181.0,29.94059,0.0,58772,405,602
3.0,56.0,1026.0,1008.0,1754545.0,183.0,27.568306,0.0,59036,477,634
3.0,71.0,1041.0,959.0,2075758.0,177.0,26.983957,0.0,60894,468,697
3.0,60.0,1008.0,1020.0,2009091.0,174.0,27.555397,0.0,58680,460,605
3.0,60.0,1098.0,886.0,2233333.0,164.0,27.75078,0.0,59108,441,639
3.0,60.0,995.0,953.0,2209091.0,172.0,27.215797,0.0,61212,468,651
