DELAY,ITER,AVERAGE_TPS_BENCH1,AVERAGE_DROPRATE_BENCH1,AVERAGE_TPS_BENCH2,AVERAGE_DROPRATE_BENCH2
0.0,0,21.555958,0.0,24.237686,0.0
0.0,1,21.960638,0.0,21.859503,0.0
0.0,2,21.550198,0.0,21.985533,0.0
0.0,3,22.026299,0.0,22.137806,0.0
0.0,4,21.94686,0.0,21.997543,0.0
0.0,5,21.57916,0.0,21.505775,0.0
0.0,6,21.54888,0.0,18.864904,0.17
0.0,7,21.849283,0.0,21.426626,0.0
0.0,8,21.796194,0.0,21.53495,0.0
0.0,9,18.885042,0.17,24.519558,0.0
10.0,0,22.306854,0.0,21.602207,0.0
10.0,1,21.522001,0.0,21.986284,0.0
10.0,2,21.535412,0.0,21.296724,0.0
10.0,3,21.613005,0.0,21.547052,0.0
10.0,4,21.599428,0.0,21.912565,0.0
10.0,5,22.011097,0.0,20.644299,0.0
10.0,6,24.226652,0.0,19.542185,0.0
10.0,7,21.221056,0.0,20.602194,0.0
10.0,8,24.442917,0.0,21.29474,0.0
10.0,9,21.57201,0.0,21.45766,0.0
20.0,0,22.399927,0.0,21.582455,0.0
20.0,1,21.403025,0.0,17.9815,0.21
20.0,2,21.531393,0.0,17.836193,0.22
20.0,3,24.42514,0.0,23.177176,0.0
20.0,4,21.93856,0.0,23.065224,0.0
20.0,5,21.809546,0.0,20.466333,0.0
20.0,6,24.44971,0.0,19.485844,0.0
20.0,7,21.790442,0.0,21.471485,0.0
20.0,8,21.537453,0.0,18.969986,0.17
20.0,9,21.953497,0.0,22.022186,0.0
30.0,0,21.302696,0.0,20.49322,0.0
30.0,1,22.514935,0.0,20.592802,0.0
30.0,2,18.735264,0.18,20.371037,0.0
30.0,3,21.45026,0.0,14.017716,0.29
30.0,4,24.306633,0.0,21.492397,0.0
30.0,5,21.882877,0.0,21.273174,0.0
30.0,6,21.543364,0.0,22.067234,0.0
30.0,7,18.78833,0.17,20.317242,0.0
30.0,8,21.550854,0.0,19.898,0.0
30.0,9,22.023966,0.0,15.472815,0.32
40.0,0,21.942753,0.0,21.58885,0.0
40.0,1,21.55031,0.0,24.378187,0.0
40.0,2,23.640314,0.0,21.484047,0.0
40.0,3,18.855865,0.17,23.304344,0.0
40.0,4,22.642954,0.0,17.073698,0.25
40.0,5,20.50273,0.0,20.35445,0.0
40.0,6,20.327427,0.0,20.201685,0.0
40.0,7,21.551836,0.0,24.213688,0.0
40.0,8,21.266344,0.0,18.248014,0.19
40.0,9,21.221432,0.0,20.244814,0.0
50.0,0,21.512606,0.0,15.69343,0.31
50.0,1,19.987785,0.0,19.746635,0.0
50.0,2,23.950768,0.0,14.113849,0.32
50.0,3,18.997765,0.0,20.35624,0.0
50.0,4,18.297709,0.2,19.734608,0.0
50.0,5,21.54177,0.0,21.518997,0.0
50.0,6,21.264732,0.0,21.55446,0.0
50.0,7,21.557545,0.0,21.806831,0.0
50.0,8,20.470163,0.11,20.892096,0.0
50.0,9,21.572916,0.0,20.603447,0.1
60.0,0,21.587059,0.0,24.399305,0.0
60.0,1,20.326763,0.0,21.91824,0.0
60.0,2,21.266212,0.0,21.82422,0.0
60.0,3,21.666159,0.0,18.809986,0.18
60.0,4,21.816376,0.0,21.44787,0.0
60.0,5,21.610771,0.0,20.325373,0.0
60.0,6,21.62759,0.0,23.946733,0.0
60.0,7,21.598507,0.0,21.916964,0.0
60.0,8,21.947441,0.0,21.530348,0.0
60.0,9,24.470932,0.0,18.80063,0.18
70.0,0,18.903582,0.0,18.762804,0.0
70.0,1,25.107891,0.0,20.159077,0.0
70.0,2,21.5449,0.0,21.609577,0.0
70.0,3,21.568203,0.0,20.7272,0.09
70.0,4,20.916895,0.0,20.626513,0.0
70.0,5,20.483067,0.0,18.892883,0.17
70.0,6,17.29926,0.18,21.867636,0.0
70.0,7,21.831594,0.0,24.434448,0.0
70.0,8,17.781443,0.17,21.584312,0.0
70.0,9,21.46725,0.0,18.882523,0.17
80.0,0,21.320175,0.0,16.565296,0.3
80.0,1,20.458656,0.0,20.19383,0.0
80.0,2,20.34986,0.0,23.300167,0.0
80.0,3,16.559872,0.21,21.387453,0.0
80.0,4,21.597921,0.0,21.57229,0.0
80.0,5,18.590334,0.19,20.320951,0.0
80.0,6,20.659336,0.0,23.31391,0.0
80.0,7,15.686538,0.31,20.345734,0.0
80.0,8,15.814502,0.31,21.804554,0.0
80.0,9,21.591885,0.0,24.412462,0.0
90.0,0,24.358559,0.0,24.33984,0.0
90.0,1,18.733,0.18,21.227135,0.0
90.0,2,24.462791,0.0,21.524988,0.0
90.0,3,21.95527,0.0,21.937674,0.0
90.0,4,21.76484,0.0,20.430891,0.0
90.0,5,20.433062,0.0,17.463524,0.3
90.0,6,20.426638,0.0,23.15827,0.0
90.0,7,20.366707,0.0,20.356697,0.0
90.0,8,19.266861,0.02,20.312084,0.0
90.0,9,20.359064,0.0,20.223263,0.0
