ITER,NUM_THREADS,DEFAULT_TICKS_PER_SLOT,RECV_BATCH_MAX_CPU,ITER_BATCH_SIZE,DEFAULT_HASHES_PER_SECOND,DEFAULT_TICKS_PER_SECOND,AVERAGE_TPS_BENCH1,AVERAGE_DROPRATE_BENCH1,REAL_TIME_RATE_BENCH1,USER_TIME_RATE_BENCH1,SYS_TIME_RATE_BENCH1
0,3.0,60.0,950.0,1017.0,1900000.0,168.0,23.664347,0.0,15484,233,55
1,3.0,60.0,950.0,1017.0,1900000.0,168.0,23.665918,0.0,15399,177,88
2,3.0,60.0,950.0,1017.0,1900000.0,168.0,23.665033,0.0,15304,177,112
3,3.0,60.0,950.0,1017.0,1900000.0,168.0,23.80789,0.0,15291,223,60
4,3.0,60.0,950.0,1017.0,1900000.0,168.0,23.94969,0.0,15256,208,82
5,3.0,60.0,950.0,1017.0,1900000.0,168.0,24.088829,0.0,15470,234,32
6,3.0,60.0,950.0,1017.0,1900000.0,168.0,23.658924,0.0,15240,182,97
7,3.0,60.0,950.0,1017.0,1900000.0,168.0,23.663895,0.0,15173,222,47
8,3.0,60.0,950.0,1017.0,1900000.0,168.0,23.661457,0.0,15211,223,61
9,3.0,60.0,950.0,1017.0,1900000.0,168.0,23.522158,0.0,15476,171,124
0,3.0,73.0,917.0,1150.0,2166667.0,173.0,23.379206,0.0,15239,186,95
1,3.0,73.0,917.0,1150.0,2166667.0,173.0,23.2365,0.0,15478,182,99
2,3.0,73.0,917.0,1150.0,2166667.0,173.0,23.235163,0.0,15474,204,71
3,3.0,73.0,917.0,1150.0,2166667.0,173.0,23.23644,0.0,15771,276,1
4,3.0,73.0,917.0,1150.0,2166667.0,173.0,23.23588,0.0,15458,245,31
5,3.0,73.0,917.0,1150.0,2166667.0,173.0,23.237719,0.0,15459,200,80
6,3.0,73.0,917.0,1150.0,2166667.0,173.0,23.234392,0.0,15503,191,89
7,3.0,73.0,917.0,1150.0,2166667.0,173.0,23.234808,0.0,15751,221,46
8,3.0,73.0,917.0,1150.0,2166667.0,173.0,27.241678,0.0,14307,275,27
9,3.0,73.0,917.0,1150.0,2166667.0,173.0,23.234587,0.0,15538,200,84
0,3.0,71.0,983.0,950.0,2300000.0,179.0,23.663496,0.0,15566,181,93
1,3.0,71.0,983.0,950.0,2300000.0,179.0,23.238363,0.0,15219,219,82
2,3.0,71.0,983.0,950.0,2300000.0,179.0,26.77263,0.0,14475,204,62
3,3.0,71.0,983.0,950.0,2300000.0,179.0,23.091608,0.0,15583,194,90
4,3.0,71.0,983.0,950.0,2300000.0,179.0,23.375553,0.0,15507,217,81
5,3.0,71.0,983.0,950.0,2300000.0,179.0,20.61509,0.17,14716,215,50
6,3.0,71.0,983.0,950.0,2300000.0,179.0,23.236078,0.0,15432,251,29
7,3.0,71.0,983.0,950.0,2300000.0,179.0,23.519138,0.0,15215,262,20
8,3.0,71.0,983.0,950.0,2300000.0,179.0,23.236855,0.0,15472,199,86
9,3.0,71.0,983.0,950.0,2300000.0,179.0,23.37788,0.0,15449,237,63
0,4.0,57.0,850.0,1083.0,1766667.0,157.0,23.238081,0.0,15426,242,45
1,4.0,57.0,850.0,1083.0,1766667.0,157.0,23.807997,0.0,15472,253,43
2,4.0,57.0,850.0,1083.0,1766667.0,157.0,23.236954,0.0,15469,219,45
3,4.0,57.0,850.0,1083.0,1766667.0,157.0,23.377882,0.0,15471,166,119
4,4.0,57.0,850.0,1083.0,1766667.0,157.0,23.379435,0.0,15189,220,57
5,4.0,57.0,850.0,1083.0,1766667.0,157.0,23.378307,0.0,15477,258,38
6,4.0,57.0,850.0,1083.0,1766667.0,157.0,23.66147,0.0,15551,186,85
7,4.0,57.0,850.0,1083.0,1766667.0,157.0,23.378555,0.0,15513,214,67
8,4.0,57.0,850.0,1083.0,1766667.0,157.0,23.379763,0.0,15460,205,81
9,4.0,57.0,850.0,1083.0,1766667.0,157.0,23.945877,0.0,15199,177,108
0,4.0,62.0,883.0,883.0,2033333.0,136.0,23.094412,0.0,15839,210,68
1,4.0,62.0,883.0,883.0,2033333.0,136.0,22.950426,0.0,15480,200,77
2,4.0,62.0,883.0,883.0,2033333.0,136.0,23.2355,0.0,15440,220,64
3,4.0,62.0,883.0,883.0,2033333.0,136.0,22.806053,0.0,15747,205,78
4,4.0,62.0,883.0,883.0,2033333.0,136.0,22.80874,0.0,15448,207,65
5,4.0,62.0,883.0,883.0,2033333.0,136.0,22.443071,0.1,14466,203,46
6,4.0,62.0,883.0,883.0,2033333.0,136.0,22.813187,0.0,15487,229,53
7,4.0,62.0,883.0,883.0,2033333.0,136.0,22.95092,0.0,15758,180,109
8,4.0,62.0,883.0,883.0,2033333.0,136.0,22.810747,0.0,15170,230,47
9,4.0,62.0,883.0,883.0,2033333.0,136.0,22.953331,0.0,15134,232,54
0,4.0,64.0,1117.0,1117.0,1966667.0,184.0,23.808048,0.0,15174,219,68
1,4.0,64.0,1117.0,1117.0,1966667.0,184.0,23.524313,0.0,15495,218,68
2,4.0,64.0,1117.0,1117.0,1966667.0,184.0,23.523516,0.0,15250,215,70
3,4.0,64.0,1117.0,1117.0,1966667.0,184.0,23.379242,0.0,15171,239,42
4,4.0,64.0,1117.0,1117.0,1966667.0,184.0,20.945705,0.16,14248,185,85
5,4.0,64.0,1117.0,1117.0,1966667.0,184.0,23.380432,0.0,15469,196,98
6,4.0,64.0,1117.0,1117.0,1966667.0,184.0,23.517702,0.0,15481,212,62
7,4.0,64.0,1117.0,1117.0,1966667.0,184.0,23.520575,0.0,15247,164,114
8,4.0,64.0,1117.0,1117.0,1966667.0,184.0,23.522202,0.0,15203,245,40
9,4.0,64.0,1117.0,1117.0,1966667.0,184.0,23.519869,0.0,15476,228,57
0,4.0,69.0,1150.0,917.0,2233333.0,163.0,23.096066,0.0,15467,194,90
1,4.0,69.0,1150.0,917.0,2233333.0,163.0,22.95105,0.0,15483,183,102
2,4.0,69.0,1150.0,917.0,2233333.0,163.0,22.947903,0.0,15471,231,43
3,4.0,69.0,1150.0,917.0,2233333.0,163.0,23.095459,0.0,15749,177,95
4,4.0,69.0,1150.0,917.0,2233333.0,163.0,23.238377,0.0,15707,196,99
5,4.0,69.0,1150.0,917.0,2233333.0,163.0,22.952581,0.0,15775,229,54
6,4.0,69.0,1150.0,917.0,2233333.0,163.0,22.953712,0.0,15414,223,41
7,4.0,69.0,1150.0,917.0,2233333.0,163.0,22.949541,0.0,15694,214,80
8,4.0,69.0,1150.0,917.0,2233333.0,163.0,20.447718,0.18,14477,174,95
9,4.0,69.0,1150.0,917.0,2233333.0,163.0,22.952232,0.0,15685,250,36
0,5.0,55.0,1017.0,1050.0,1700000.0,141.0,23.090858,0.0,15481,234,55
1,5.0,55.0,1017.0,1050.0,1700000.0,141.0,23.095022,0.0,15745,209,77
2,5.0,55.0,1017.0,1050.0,1700000.0,141.0,23.093,0.0,15471,199,82
3,5.0,55.0,1017.0,1050.0,1700000.0,141.0,26.936722,0.0,14719,203,62
4,5.0,55.0,1017.0,1050.0,1700000.0,141.0,22.948082,0.0,15787,223,57
5,5.0,55.0,1017.0,1050.0,1700000.0,141.0,23.09697,0.0,15179,229,53
6,5.0,55.0,1017.0,1050.0,1700000.0,141.0,23.094048,0.0,15174,206,76
7,5.0,55.0,1017.0,1050.0,1700000.0,141.0,23.237663,0.0,15438,251,31
8,5.0,55.0,1017.0,1050.0,1700000.0,141.0,22.44119,0.1,14150,238,14
9,5.0,55.0,1017.0,1050.0,1700000.0,141.0,23.379656,0.0,15199,244,46
0,5.0,53.0,1083.0,850.0,1833333.0,147.0,23.9524,0.0,15244,203,68
1,5.0,53.0,1083.0,850.0,1833333.0,147.0,26.746042,0.0,14315,199,84
2,5.0,53.0,1083.0,850.0,1833333.0,147.0,23.948875,0.0,15430,143,141
3,5.0,53.0,1083.0,850.0,1833333.0,147.0,23.525505,0.0,15460,135,133
4,5.0,53.0,1083.0,850.0,1833333.0,147.0,23.522005,0.0,15493,212,60
5,5.0,53.0,1083.0,850.0,1833333.0,147.0,23.523483,0.0,15452,211,78
6,5.0,53.0,1083.0,850.0,1833333.0,147.0,26.504154,0.0,14670,236,35
7,5.0,53.0,1083.0,850.0,1833333.0,147.0,23.518929,0.0,15493,264,20
8,5.0,53.0,1083.0,850.0,1833333.0,147.0,23.810448,0.0,15442,194,82
9,5.0,53.0,1083.0,850.0,1833333.0,147.0,23.238852,0.0,15567,225,71
0,5.0,66.0,1050.0,983.0,2100000.0,152.0,23.380724,0.0,15501,242,65
1,5.0,66.0,1050.0,983.0,2100000.0,152.0,23.093006,0.0,15207,227,54
2,5.0,66.0,1050.0,983.0,2100000.0,152.0,23.382256,0.0,15442,236,37
3,5.0,66.0,1050.0,983.0,2100000.0,152.0,23.096073,0.0,15224,263,19
4,5.0,66.0,1050.0,983.0,2100000.0,152.0,23.095577,0.0,15535,204,79
5,5.0,66.0,1050.0,983.0,2100000.0,152.0,23.095373,0.0,15795,263,45
6,5.0,66.0,1050.0,983.0,2100000.0,152.0,26.604181,0.0,14453,173,96
7,5.0,66.0,1050.0,983.0,2100000.0,152.0,23.095528,0.0,15194,146,141
8,5.0,66.0,1050.0,983.0,2100000.0,152.0,26.936148,0.0,14480,211,54
9,5.0,66.0,1050.0,983.0,2100000.0,152.0,23.092285,0.0,15855,202,108
